strategy,severity,climate,scenario_combo_3axis,building_type,area_m2,floors,n_spaces,hvac_system_type,Q_cool_des_kw,Q_heat_des_kw,Q_air_nom_m3h,step,elapsed_days,day,year,day_of_year,hour_of_day,time_step_hours,time_scale_days,T_amb_C,T_max_C,RH_mean_pct,GHI_mean_Wm2,occ,T_sp_C,alpha_flow,R_f,dust_kg,dP_Pa,delta,COP_eff,mode,Q_cool_kw,Q_heat_kw,Q_HVAC_kw,P_hvac_kw,P_fan_kw,P_pump_kw,P_auxiliary_kw,P_total_kw,thermal_hvac_kwh_period,fan_kwh_period,pump_kwh_period,auxiliary_kwh_period,people_count,internal_gains_kw,sensible_people_kw,energy_kwh_period,energy_kwh_day,co2_kg_period,co2_kg_day,comfort_dev_C,occupied_discomfort_flag,occupied_discomfort_day_equiv,cost_usd_period,cost_usd_day,hx_cleaned,filter_replaced,baseline_flag
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,1,0.0,1,1,1,0.0,24.0,1.0,12.851723466326305,17.43572982383011,58.322295813503146,370.96304354999637,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.035255150922442,heating,8.079735047342627,15.340604782157477,15.340604782157477,5.054140103343643,0.23809523809523814,0.0,0.1925,5.484735341438881,121.29936248024744,5.714285714285715,0.0,4.62,20.0,6.525,1.5,131.63364819453315,131.63364819453315,70.55563543226977,70.55563543226977,0.6088965920204217,0,0.0,15.796037783343978,15.796037783343978,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,2,1.0,2,1,2,0.0,24.0,1.0,11.757578309121298,16.236706506376372,56.86184187018193,347.978487192087,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.000242505891882,heating,8.127683616593245,17.513698636050755,17.513698636050755,5.8374276751486995,0.23809523809523814,0.0,0.1925,6.268022913243938,140.0982642035688,5.714285714285715,0.0,4.62,20.0,6.525,1.5,150.4325499178545,150.4325499178545,80.63184675597002,80.63184675597002,0.6745453014527207,0,0.0,18.051905990142536,18.051905990142536,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,3,2.0,3,1,3,0.0,24.0,1.0,12.76102412458429,17.419806553554857,58.15221193116079,372.0104487653622,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.0323527719866976,heating,8.189652506319728,15.520743752561753,15.520743752561753,5.11838328836426,0.23809523809523814,0.0,0.1925,5.548978526459498,122.84119892074224,5.714285714285715,0.0,4.62,20.0,6.525,1.5,133.17548463502794,133.17548463502794,71.38205976437499,71.38205976437499,0.6143385525249414,0,0.0,15.981058156203353,15.981058156203353,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,4,3.0,4,1,4,0.0,24.0,1.0,12.841355909886914,18.29225239267413,57.118239900117,341.4195536480217,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.0349233891163814,heating,8.226466479018573,15.361195901196822,15.361195901196822,5.0614773197517975,0.23809523809523814,0.0,0.1925,5.4920725578470355,121.47545567404313,5.714285714285715,0.0,4.62,20.0,6.525,1.5,131.80974138832886,131.80974138832886,70.65002138414427,70.65002138414427,0.6095186454067836,0,0.0,15.817168966599462,15.817168966599462,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,5,4.0,5,1,5,0.0,24.0,1.0,13.034207337190544,17.650654296858946,57.7325396542407,359.7570400314076,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.0410946347900976,heating,8.290329449164311,14.978171538635447,14.978171538635447,4.925256638608114,0.23809523809523814,0.0,0.1925,5.355851876703352,118.20615932659473,5.714285714285715,0.0,4.62,20.0,6.525,1.5,128.54044504088046,128.54044504088046,68.89767854191193,68.89767854191193,0.5979475597685671,0,0.0,15.424853404905654,15.424853404905654,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,6,5.0,6,1,6,0.0,24.0,1.0,12.801455378900219,17.52908356113864,58.21581367789815,359.81432716443743,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.033646572124807,heating,8.34340278566378,15.440442789128735,15.440442789128735,5.0897302708252,0.23809523809523814,0.0,0.1925,5.520325508920438,122.1535264998048,5.714285714285715,0.0,4.62,20.0,6.525,1.5,132.48781221409052,132.48781221409052,71.01346734675252,71.01346734675252,0.6119126772659875,0,0.0,15.898537465690863,15.898537465690863,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,7,6.0,7,1,7,0.0,24.0,1.0,12.726327442262065,17.585474022066773,56.63317615216918,372.3622006287298,0.25,23.0,1.0,0.0,0.0,150.0,0.0,3.031242478152386,heating,8.409362545148483,15.589655218840623,15.589655218840623,5.142991803263092,0.23809523809523814,0.0,0.1925,5.57358704135833,123.4318032783142,5.714285714285715,0.0,4.62,20.0,6.525,1.5,133.76608899259992,133.76608899259992,71.69862370003356,71.69862370003356,0.6164203534642745,0,0.0,16.05193067911199,16.05193067911199,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,8,7.0,8,1,8,0.0,24.0,1.0,13.195998818953711,18.368327220156864,59.652474503192465,359.0723063728876,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.1835150755879,8.815835679022491,18.1835150755879,4.040781127908422,0.23809523809523814,0.0,0.44000000000000006,4.71887636600366,96.97874706980213,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,113.25303278408785,113.25303278408785,60.70362557227109,60.70362557227109,0.5882400708627777,1,1.0,13.590363934090542,13.590363934090542,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,9,8.0,9,1,9,0.0,24.0,1.0,12.785174113987173,17.459665022688025,56.404613487014714,391.92606566278357,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.27993905728227,9.631779190275477,18.27993905728227,4.06220867939606,0.23809523809523814,0.0,0.44000000000000006,4.740303917491299,97.49300830550544,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,113.76729401979117,113.76729401979117,60.97926959460807,60.97926959460807,0.6128895531607697,1,1.0,13.65207528237494,13.65207528237494,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,10,9.0,10,1,10,0.0,24.0,1.0,13.038491211766237,17.702428620981223,53.33007960541452,384.50305544085563,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.32663533328411,9.128663287742057,18.32663533328411,4.072585629618691,0.23809523809523814,0.0,0.44000000000000006,4.750680867713929,97.74205511084858,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,114.01634082513431,114.01634082513431,61.112758682271995,61.112758682271995,0.5976905272940272,1,1.0,13.681960899016117,13.681960899016117,0,0,1
